Title,Type,Episodes,Status,Start airing,End airing,Starting season,Studios,Sources,Genres,Rating,Score,Scored by,Members,Favorites
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,4/5/2009,7/4/2010,Spring,Bones,Manga,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen",R,9.25,719706,1176368,105387
Kimi no Na wa.,Movie,1,Finished Airing,8/26/2016,-,-,CoMix Wave Films,Light novel,"Supernatural,Drama,Romance,School",PG-13,9.19,454969,705186,33936
Gintama°,TV,51,Finished Airing,4/8/2015,3/30/2016,Spring,Bandai Namco Pictures,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",R,9.16,70279,194359,5597
Steins;Gate 0,TV,23,Currently Airing,4/12/2018,-,Spring,White Fox,Visual novel,"Sci-Fi,Thriller",PG-13,9.16,12609,186331,1117
Steins;Gate,TV,24,Finished Airing,4/6/2011,9/14/2011,Spring,White Fox,Visual novel,"Sci-Fi,Thriller",PG-13,9.14,552791,990419,90365
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,1/8/1988,3/17/1997,-,"Artland,Magic Bus",Novel,"Military,Sci-Fi,Space,Drama",R,9.11,28452,121772,8370
Gintama',TV,51,Finished Airing,4/4/2011,3/26/2012,Spring,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",PG-13,9.11,90758,212238,4533
Hunter x Hunter (2011),TV,148,Finished Airing,10/2/2011,9/24/2014,Fall,Madhouse,Manga,"Action,Adventure,Super Power,Shounen",PG-13,9.11,395162,705225,63324
3-gatsu no Lion 2nd Season,TV,22,Finished Airing,10/14/2017,3/31/2018,Fall,Shaft,Manga,"Drama,Game,Seinen,Slice of Life",PG-13,9.1,26284,80166,1961
Gintama': Enchousen,TV,13,Finished Airing,10/4/2012,3/28/2013,Fall,Sunrise,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",PG-13,9.07,62582,121612,1498
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Finished Airing,7/6/2013,-,-,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",PG-13,9.04,60295,104021,1374
Koe no Katachi,Movie,1,Finished Airing,9/17/2016,-,-,Kyoto Animation,Manga,"Drama,School,Shounen",PG-13,9.04,283214,491799,18911
Owarimonogatari 2nd Season,TV,7,Finished Airing,8/12/2017,8/13/2017,Summer,Shaft,Light novel,"Mystery,Comedy,Supernatural,Vampire",R,9.03,40936,109651,2372
Gintama.,TV,12,Finished Airing,1/9/2017,3/27/2017,Winter,Bandai Namco Pictures,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",PG-13,9.02,39493,89409,1222
Clannad: After Story,TV,24,Finished Airing,10/3/2008,3/27/2009,Fall,Kyoto Animation,Visual novel,"Slice of Life,Comedy,Supernatural,Drama,Romance",PG-13,9.01,359297,599866,47076
Gintama,TV,201,Finished Airing,4/4/2006,3/25/2010,Spring,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",PG-13,9.01,139984,452486,33507
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,10,Finished Airing,10/8/2016,12/10/2016,Fall,Production I.G,Manga,"Comedy,Sports,Drama,School,Shounen",PG-13,8.99,154220,245797,4078
Code Geass: Hangyaku no Lelouch R2,TV,25,Finished Airing,4/6/2008,9/28/2008,Spring,Sunrise,Original,"Action,Drama,Mecha,Military,Sci-Fi,Super Power",R,8.95,536915,780346,43856
Made in Abyss,TV,13,Finished Airing,7/7/2017,9/29/2017,Summer,Kinema Citrus,Web manga,"Sci-Fi,Adventure,Mystery,Drama,Fantasy",R,8.92,157920,308918,11246
Sen to Chihiro no Kamikakushi,Movie,1,Finished Airing,7/20/2001,-,-,Studio Ghibli,Original,"Adventure,Supernatural,Drama",PG,8.92,490546,693611,15225
Haikyuu!! Second Season,TV,25,Finished Airing,10/4/2015,3/27/2016,Fall,Production I.G,Manga,"Comedy,Sports,Drama,School,Shounen",PG-13,8.88,201157,326190,6480
Kizumonogatari III: Reiketsu-hen,Movie,1,Finished Airing,1/6/2017,-,-,Shaft,Light novel,"Action,Mystery,Supernatural,Vampire",R,8.88,59924,125489,1477
Shigatsu wa Kimi no Uso,TV,22,Finished Airing,10/10/2014,3/20/2015,Fall,A-1 Pictures,Manga,"Drama,Music,Romance,School,Shounen",PG-13,8.88,404812,701954,38990
Gintama.: Shirogane no Tamashii-hen,TV,12,Finished Airing,1/8/2018,3/26/2018,Winter,Bandai Namco Pictures,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",PG-13,8.86,13190,39829,388
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Finished Airing,1/7/2017,3/25/2017,Winter,Studio Deen,Manga,"Historical,Drama,Josei",PG-13,8.87,26744,73103,1360
Mushishi Zoku Shou 2nd Season,TV,10,Finished Airing,10/19/2014,12/21/2014,Fall,Artland,Manga,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural",PG-13,8.83,48104,116262,693
Cowboy Bebop,TV,26,Finished Airing,4/3/1998,4/24/1999,Spring,Sunrise,Original,"Action,Adventure,Comedy,Drama,Sci-Fi,Space",R,8.81,359700,695231,38654
Hajime no Ippo,TV,75,Finished Airing,10/4/2000,3/27/2002,Fall,Madhouse,Manga,"Comedy,Sports,Drama,Shounen",PG-13,8.8,114872,225314,10649
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,10/6/2006,7/29/2007,Fall,Sunrise,Original,"Action,Military,Sci-Fi,Super Power,Drama,Mecha,School",R,8.79,619589,972802,62965
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,2/20/1999,9/22/1999,-,Studio Deen,Manga,"Action,Historical,Drama,Romance,Martial Arts,Samurai",R,8.79,88381,165485,4640
Boku no Hero Academia 2nd Season,TV,25,Finished Airing,4/1/2017,9/30/2017,Spring,Bones,Manga,"Action,Comedy,Super Power,School,Shounen",PG-13,8.77,330448,555433,11228
Monogatari Series: Second Season,TV,26,Finished Airing,7/7/2013,12/29/2013,Summer,Shaft,Light novel,"Mystery,Comedy,Supernatural,Romance,Vampire",R,8.77,159599,299227,11763
Mushishi Zoku Shou,TV,10,Finished Airing,4/5/2014,6/21/2014,Spring,Artland,Manga,"Adventure,Slice of Life,Mystery,Historical,Supernatural,Fantasy,Seinen",PG-13,8.77,59834,143770,874
Ookami Kodomo no Ame to Yuki,Movie,1,Finished Airing,7/21/2012,-,-,Studio Chizu,Light novel,"Slice of Life,Fantasy",PG,8.77,201346,351703,7014
Natsume Yuujinchou Roku,TV,11,Finished Airing,4/12/2017,6/21/2017,Spring,Shuka,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",PG-13,8.75,23690,64281,506
Great Teacher Onizuka,TV,43,Finished Airing,6/30/1999,9/17/2000,Summer,Studio Pierrot,Manga,"Comedy,Drama,School,Shounen,Slice of Life",R,8.74,185291,355842,13951
Mushishi,TV,26,Finished Airing,10/23/2005,6/19/2006,Fall,Artland,Manga,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural",PG-13,8.74,145817,402744,17849
Tengen Toppa Gurren Lagann,TV,27,Finished Airing,4/1/2007,9/30/2007,Spring,Gainax,Original,"Action,Adventure,Comedy,Mecha,Sci-Fi",PG-13,8.74,443327,775577,49556
Hajime no Ippo: New Challenger,TV,26,Finished Airing,1/7/2009,7/1/2009,Winter,Madhouse,Manga,"Comedy,Sports,Drama,Shounen",PG-13,8.73,76696,124203,1060
Howl no Ugoku Shiro,Movie,1,Finished Airing,11/20/2004,-,-,Studio Ghibli,Novel,"Adventure,Drama,Fantasy,Romance",G,8.73,329436,473914,9640
One Punch Man,TV,12,Finished Airing,10/5/2015,12/21/2015,Fall,Madhouse,Web manga,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural,Seinen",R,8.73,675113,994888,30140
Suzumiya Haruhi no Shoushitsu,Movie,1,Finished Airing,2/6/2010,-,-,Kyoto Animation,Light novel,"Comedy,Mystery,Romance,School,Sci-Fi,Supernatural",PG-13,8.73,177650,319467,8499
Natsume Yuujinchou Shi,TV,13,Finished Airing,1/3/2012,3/27/2012,Winter,Brain's Base,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",PG-13,8.72,61530,130966,1387
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,Finished Airing,5/16/2015,-,-,Artland,Manga,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural",PG-13,8.71,21922,54408,123
Kizumonogatari II: Nekketsu-hen,Movie,1,Finished Airing,8/19/2016,-,-,Shaft,Light novel,"Action,Mystery,Supernatural,Vampire",R,8.7,69241,132506,744
Bakuman. 3rd Season,TV,25,Finished Airing,10/6/2012,3/30/2013,Fall,J.C.Staff,Manga,"Comedy,Drama,Romance,Shounen",PG-13,8.67,106543,180516,2061
Death Note,TV,37,Finished Airing,10/4/2006,6/27/2007,Fall,Madhouse,Manga,"Mystery,Police,Psychological,Supernatural,Thriller,Shounen",R,8.67,993775,1432871,87872
Hajime no Ippo: Rising,TV,25,Finished Airing,10/6/2013,3/29/2014,Fall,"Madhouse,MAPPA",Manga,"Comedy,Sports,Drama,Shounen",PG-13,8.67,58403,101167,639
Saiki Kusuo no Sai-nan (TV) 2,TV,24,Currently Airing,1/17/2018,-,Winter,"J.C.Staff,Egg Firm",Manga,"Slice of Life,Comedy,Supernatural,School,Shounen",PG-13,8.67,11176,53301,372
Ansatsu Kyoushitsu 2nd Season,TV,25,Finished Airing,1/8/2016,7/1/2016,Winter,Lerche,Manga,"Action,Comedy,School,Shounen",PG-13,8.66,207074,369455,6549
Fate/Zero 2nd Season,TV,12,Finished Airing,4/8/2012,6/24/2012,Spring,ufotable,Novel,"Action,Supernatural,Magic,Fantasy",R,8.66,308831,492593,10880
Haikyuu!!,TV,25,Finished Airing,4/6/2014,9/21/2014,Spring,Production I.G,Manga,"Comedy,Drama,School,Shounen,Sports",PG-13,8.66,272976,473577,23414
Pingu in the City,TV,26,Finished Airing,10/7/2017,3/31/2018,Fall,Polygon Pictures,Other,"Slice of Life,Comedy,Kids",G,8.66,5977,21226,619
Natsume Yuujinchou San,TV,13,Finished Airing,7/5/2011,9/27/2011,Summer,Brain's Base,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",PG-13,8.65,68203,137602,973
Ping Pong The Animation,TV,11,Finished Airing,4/11/2014,6/20/2014,Spring,Tatsunoko Production,Manga,"Sports,Psychological,Drama,Seinen",PG-13,8.65,71878,144440,6965
Sora yori mo Tooi Basho,TV,13,Finished Airing,1/2/2018,3/27/2018,Winter,Madhouse,Original,"Slice of Life,Adventure",PG-13,8.65,35256,98573,2008
Yojouhan Shinwa Taikei,TV,11,Finished Airing,4/23/2010,7/2/2010,Spring,Madhouse,Novel,"Mystery,Comedy,Psychological,Romance",R,8.65,59567,180689,9301
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,Finished Airing,4/2/2016,12/24/2016,Spring,David Production,Manga,"Action,Adventure,Comedy,Supernatural,Drama,Shounen",R,8.64,96615,176448,6981
Mushishi Special: Hihamukage,Special,1,Finished Airing,1/4/2014,-,-,Artland,Manga,"Adventure,Slice of Life,Mystery,Historical,Supernatural,Fantasy,Seinen",PG-13,8.64,35673,66879,101
Natsume Yuujinchou Go,TV,11,Finished Airing,10/5/2016,12/21/2016,Fall,Shuka,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",PG-13,8.64,30968,79095,453
Kara no Kyoukai 5: Mujun Rasen,Movie,1,Finished Airing,8/16/2008,-,-,ufotable,Light novel,"Action,Mystery,Supernatural,Drama,Romance,Thriller",R,8.63,78064,138255,2973
Shouwa Genroku Rakugo Shinjuu,TV,13,Finished Airing,1/9/2016,4/2/2016,Winter,Studio Deen,Manga,"Drama,Historical,Josei",PG-13,8.63,46836,139271,3226
Zoku Natsume Yuujinchou,TV,13,Finished Airing,1/6/2009,3/31/2009,Winter,Brain's Base,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",PG-13,8.62,76893,145985,1206
Ashita no Joe 2,TV,47,Finished Airing,10/13/1980,8/31/1981,Fall,Tokyo Movie Shinsha,Manga,"Action,Drama,Shounen,Slice of Life,Sports",PG-13,8.6,4127,11867,518
Aria The Origination,TV,13,Finished Airing,1/8/2008,4/1/2008,Winter,Hal Film Maker,Manga,"Fantasy,Sci-Fi,Shounen,Slice of Life",G,8.59,17893,70380,2972
Gintama.: Porori-hen,TV,13,Finished Airing,10/2/2017,12/25/2017,Fall,Bandai Namco Pictures,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",PG-13,8.59,22015,51931,445
Rainbow: Nisha Rokubou no Shichinin,TV,26,Finished Airing,4/7/2010,9/29/2010,Spring,Madhouse,Manga,"Drama,Historical,Seinen,Thriller",R,8.59,77292,193900,5154
Steins;Gate Movie: Fuka Ryouiki no Deja vu,Movie,1,Finished Airing,4/20/2013,-,-,White Fox,Visual novel,"Sci-Fi,Drama",PG-13,8.58,163175,276648,1347
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,Finished Airing,4/24/2010,-,-,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",R,8.57,41905,71355,323
Violet Evergarden,TV,13,Finished Airing,1/11/2018,4/5/2018,Winter,Kyoto Animation,Light novel,"Slice of Life,Drama,Fantasy",PG-13,8.57,88787,322653,4963
Boku dake ga Inai Machi,TV,12,Finished Airing,1/8/2016,3/25/2016,Winter,A-1 Pictures,Manga,"Mystery,Psychological,Seinen,Supernatural",R,8.56,432114,684588,20942
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,Finished Airing,1/10/2015,6/20/2015,Winter,David Production,Manga,"Action,Adventure,Drama,Shounen,Supernatural",R,8.56,118095,185350,4352
